City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
540,ostrovskoye,57.8057,42.2433,-6.51,97,100,1.46,RU,1675557393
541,ghanzi,-21.5667,21.7833,20.91,84,100,2.45,BW,1675557394
542,itarema,-2.9248,-39.9167,26.05,82,27,5.71,BR,1675557335
543,vaijapur,19.9167,74.7333,17.7,32,2,1.72,IN,1675557394
544,inuvik,68.3499,-133.7218,-33.52,68,20,2.57,CA,1675557395
545,alexandria,31.2156,29.9553,9.3,62,9,7.07,EG,1675557395
546,anan,33.9167,134.65,3.88,53,4,4.56,JP,1675557396
547,salgar,5.965,-75.9654,17.47,96,59,1.36,CO,1675557396
548,inhambane,-23.865,35.3833,23.93,86,26,3.91,MZ,1675557396
549,agadir,30.4202,-9.5982,11.25,51,7,2.33,MA,1675557397
550,san patricio,28.017,-97.5169,18.08,72,1,3.25,US,1675557397
551,flinders,-34.5833,150.8552,26.21,42,0,1.79,AU,1675557127
552,turayf,31.6725,38.6637,5.14,75,0,3.09,SA,1675557398
553,izumo,35.3667,132.7667,3.97,70,40,2.06,JP,1675557398
554,brownwood,31.7093,-98.9912,13.62,63,0,2.57,US,1675557399
555,vila velha,-20.3297,-40.2925,27.19,84,0,7.2,BR,1675557399
556,magugu,-4.0167,35.7667,18.43,60,100,1.65,TZ,1675557400
557,jatai,-17.8814,-51.7144,21.14,93,100,2.21,BR,1675557400
558,sao filipe,14.8961,-24.4956,21.86,64,99,5.08,CV,1675557401
559,rafraf,37.1904,10.1837,12.18,74,71,7.5,TN,1675557401
560,poum,-20.2333,164.0167,28.78,76,100,1.75,NC,1675557402
561,hadejia,12.4498,10.0444,21.98,19,20,3.46,NG,1675557402
562,dingle,10.9995,122.6711,26.85,79,19,5.28,PH,1675557403
563,udimskiy,61.1417,45.9144,-13.77,99,98,1.07,RU,1675557403
564,san quintin,30.4833,-115.95,15.55,69,1,4.95,MX,1675557403
565,camden,39.7835,-74.9663,-4.0,58,1,0.45,US,1675557403
566,bentiu,9.2333,29.8333,22.82,21,9,2.06,SS,1675557404
567,hurghada,27.2574,33.8129,12.02,47,0,3.09,EG,1675557214
568,kemin,42.7846,75.6892,0.17,71,100,2.92,KG,1675557404
569,nanortalik,60.1432,-45.2371,-4.49,63,100,10.5,GL,1675557405
570,portland,45.5234,-122.6762,10.57,82,100,3.58,US,1675557169
